filename,title,genre
on_vam_ne_dimon,on vam ne dimon,documentary
onegin,onegin,"drama, history, romance"
ostorozhno_deti,ostorozhno deti,family
otkrytyy_kosmos,otkrytyy kosmos,"documentary, drama, history"
our_own,our own,"action, drama, war"
palma,palma,"drama, family"
panfilov_s_28_men,panfilovs 28 men,"action, drama, history, war"
papers_please_the_short,"papers, please: the short film","short, drama, thriller"
papy,papy,"drama, comedy, family"
paragraph_78_film_one,paragraph 78: film one,"action, sci-fi, thriller"
patrioticheskaya_komediya,patrioticheskaya komediya,"comedy, fantasy"
peculiarities_of_the_nationalfishing,peculiarities of the national fishing,comedy
peculiarities_of_the_national_hunt,peculiarities of the national hunt,comedy
peterburgskie_tayny,peterburgskie tayny,"drama, history"
piter_fm,piter fm,"comedy, drama, romance"
plennitsa,plennitsa,thriller
pop,pop,"drama, history, war"
popsa,popsa,"drama, musical"
posle_leta,posle leta,documentary
poteryannyy_ostrov,poteryannyy ostrov,"drama, mystery, thriller"
priklyucheniya_alyonushki,priklyucheniya alyonushki i yeryomy,animation
prishelets,prishelets,sci-fi
prizrak,prizrak,"comedy, family, mystery, fantasy"
progulka_po_eshafotu,progulka po eshafotu,"fantasy, horror"
radio_day,radio day,comedy
rasputin,rasputin,"biography, drama, history"
roads_to_koktebel,roads to koktebel,"adventure, drama, romance"
row_19,row 19,"thriller, horror"
ryabinovyy_vals,ryabinovyy vals,"drama, history, war"
saving_leningrad,saving leningrad,"action, drama, war"
savva_serdtse_voina,savva. serdtse voina,"animation, adventure, fantasy"
serafima_s_extraordinary,serafimas extraordinary travel,animation
sestrenka,sestrenka,"drama, family, war"
short_stories,short stories,"comedy, drama, mystery"
shugaley,shugaley,war
siberian_exile,siberian exile,"drama, history, romance, war"
silent_souls,silent souls,"drama, romance"
silver_skates,silver skates,"adventure, drama, family"
yolki_2,six degrees of celebration 2,"comedy, drama, family"
six_musicians_and_the,six musicians and the city,documentary
skalolazka_i_posledniy_iz_sedmoy_kolybeli,skalolazka i posledniy iz sedmoy kolybeli,"action, adventure"
